Match Number,Round Number,Date,Location,Home Team,Away Team,Result
260,26,21/02/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,0 - 0
253,26,21/02/2021 17:00,Stade du Moustoir,FC Lorient,LOSC,1 - 4
258,26,21/02/2021 21:00,Parc des Princes,Paris Saint-Germain,AS Monaco,0 - 2
206,26,24/02/2021 19:00,Stade des Costières,Nîmes Olympique,FC Lorient,1 - 0
269,27,26/02/2021 21:00,Roazhon Park,Stade Rennais FC,OGC Nice,1 - 2
262,27,27/02/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,FC Metz,1 - 2
263,27,27/02/2021 17:00,Stade Gaston Gérard,Dijon FCO,Paris Saint-Germain,0 - 4
266,27,28/02/2021 13:00,Stade Louis II,AS Monaco,Stade Brestois 29,2 - 0
261,27,28/02/2021 15:00,Stade Raymond Kopa,Angers SCO,RC Lens,2 - 2
265,27,28/02/2021 15:00,Stade du Moustoir,FC Lorient,AS Saint-Etienne,2 - 1
267,27,28/02/2021 15:00,Stade des Costières,Nîmes Olympique,FC Nantes,1 - 1
268,27,28/02/2021 15:00,Stade Auguste Delaune,Stade de Reims,Montpellier Hérault SC,0 - 0
264,27,28/02/2021 17:00,Stade Pierre-Mauroy,LOSC,RC Strasbourg Alsace,1 - 1
270,27,28/02/2021 21:00,Orange Vélodrome,Olympique de Marseille,Olympique Lyonnais,1 - 1
272,28,03/03/2021 19:00,Stade Francis-Le Blé,Stade Brestois 29,Dijon FCO,3 - 1
274,28,03/03/2021 19:00,Groupama Stadium,Olympique Lyonnais,Stade Rennais FC,1 - 0
275,28,03/03/2021 19:00,Stade Saint-Symphorien,FC Metz,Angers SCO,0 - 1
278,28,03/03/2021 19:00,Allianz Riviera,OGC Nice,Nîmes Olympique,2 - 1
279,28,03/03/2021 19:00,Stade Geoffroy-Guichard,AS Saint-Etienne,RC Lens,2 - 3
271,28,03/03/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,Paris Saint-Germain,0 - 1
273,28,03/03/2021 21:00,Stade Pierre-Mauroy,LOSC,Olympique de Marseille,2 - 0
276,28,03/03/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,1 - 1
277,28,03/03/2021 21:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,1 - 2
280,28,03/03/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,1 - 0
216,29,10/03/2021 19:00,Orange Vélodrome,Olympique de Marseille,Stade Rennais FC,1 - 0
